Date,arabnews,cnbc,ei,ft,mees,oilprice
2021-01-14,WEEKLY ENERGY RECAP: Oil prices on an upward momentum this year despite new lockdowns in Europe,"Dollar rises despite drop in yields; data, lockdowns weigh on stocks. Asia-Pacific markets mostly lower as shares of Xiaomi in Hong Kong plunge. OPEC says its outlook for the oil market is still clouded by pandemic fears. Saudi Arabia’s open banking plans could ‘revolutionize’ opportunities for fintech. Oil reverses losses, turns positive on stimulus hopes",Schlumberger Optimistic for 2021 Recovery,How Mexico’s Pemex went from cash cow to financial drain. Oil and gas contracts should drive climate gains,Algeria’s Gas Exports Slump To 25-Year Low For 2020. Majors Write Off $69bn in Year To Forget. Saudi Surprises Market With 1mn B/D Production Cut. Saudi Quarterly Production To Drop To Its Lowest In More Than A Decade. China Sees Record 2020 Stockbuild With Saudi & Russia Supplies Neck-And-Neck. Long-Running Qatar Embargo Ends With GCC Summit Agreement. Turkey Gas Imports: Russia Recovers As Iran Squeezed. India Takes First Basra Medium. Iraq Expands Export Storage,Why Oil Will Keep Rising In 2021. Oil Prices Rise On New Stimulus Hopes
2021-01-15,WEEKLY ENERGY RECAP: Oil prices on an upward momentum this year despite new lockdowns in Europe,"JPMorgan strategist Kolanovic, who nailed 2020 market, increases commodities bet as inflation hedge. Oil optimism could be derailed by coronavirus risks, Dan Yergin says. Oil drops more than 2% as demand fears hit sentiment",Schlumberger Optimistic for 2021 Recovery,Total quits powerful US oil lobby over climate policy. LNG rally heralds more volatile gas prices to come,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban",Why Oil Will Keep Rising In 2021. Oil Prices Rise On New Stimulus Hopes
2021-01-16,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,A new activist takes on Exxon to reverse the oil giant’s underperformance,Schlumberger Optimistic for 2021 Recovery,Total quits powerful US oil lobby over climate policy. LNG rally heralds more volatile gas prices to come,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban",Why Oil Will Keep Rising In 2021. Oil Prices Rise On New Stimulus Hopes
2021-01-17,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Oil rises on stimulus optimism, demand recovery hopes. Samsung shares plunge after vice-chairman gets jail term for bribery; Asia-Pacific markets mixed",Schlumberger Optimistic for 2021 Recovery,Total quits powerful US oil lobby over climate policy. LNG rally heralds more volatile gas prices to come,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban",Why Oil Will Keep Rising In 2021. Oil Prices Rise On New Stimulus Hopes
2021-01-18,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Oil rises on stimulus optimism, demand recovery hopes. Samsung shares plunge after vice-chairman gets jail term for bribery; Asia-Pacific markets mixed",Schlumberger Optimistic for 2021 Recovery,Total deepens ties with India’s Adani in $2.5bn green energy investment. Adnoc defies retreat from oil with push to pump up output,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban","Oil Prices Drop On Stronger Dollar, COVID Resurgence"
2021-01-19,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,Oil rise on hopes of U.S. stimulus and crude stocks drawdown. Alibaba shares in Hong Kong soar as Jack Ma reappears; Asia-Pacific stocks mostly higher. IEA cuts 2021 oil demand outlook as new Covid lockdowns weigh on fuel sales. Brent crude edges up as optimism over economy trumps demand concerns,Schlumberger Optimistic for 2021 Recovery,IEA warns renewed Covid lockdowns will depress oil demand. Another shale battle erupts. Occidental claims green push ‘does more than Tesla’,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban",Oil Rises On Expectations Of ‘Big’ U.S. Stimulus Package
2021-01-20,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Asia-Pacific stocks rise as Wall Street surges; India’s Sensex index briefly hits record high. The U.S. remains important in the oil market, even if Biden is less vocal than .... Treasury yields flat after Biden’s inauguration. OPEC chief pledges to deepen ties with new U.S. administration even as Biden calls for ...",Schlumberger Optimistic for 2021 Recovery,Trafigura puts €1.5bn of own cash on line to cement Rosneft ties,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban",Oil Rises On Inauguration Day As Markets Eye Big Stimulus Act
2021-01-21,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,Surging fuel demand drives up India’s crude oil processing in December. Asia-Pacific shares dip; oil giant CNOOC’s stock in Hong Kong drops nearly 6%. Oil declines after unexpected build in U.S. inventory,Schlumberger Optimistic for 2021 Recovery,Biden opens a new era of American energy,"Saudi Crude Exports To Take Fresh Hit Amid Voluntary Cuts. Opec Keeps Demand Forecast Stable Amid Cloudy Outlook. Korea, Taiwan 2020 Crude Imports: Volumes Down, Mideast Down Further. LNG Market: Record Volumes, Record Prices. Korea & Taiwan 2020 LNG Imports: Qatar Still Top, But Only Just. Qatar Keeps Crown As Largest LNG Exporter For 2020. Japanese Firms Eye Ice Murban",Oil Rises On Inauguration Day As Markets Eye Big Stimulus Act
2021-01-22,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,10-year Treasury yield slips amid stimulus and coronavirus concerns. Oil posts weekly decline as demand fears dent sentiment,Schlumberger Optimistic for 2021 Recovery,"Canada must ‘respect’ decision to cancel Keystone XL, minister says",Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low,Oil Rises On Inauguration Day As Markets Eye Big Stimulus Act
2021-01-23,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,10-year Treasury yield slips amid stimulus and coronavirus concerns. Oil posts weekly decline as demand fears dent sentiment,Schlumberger Optimistic for 2021 Recovery,"Canada must ‘respect’ decision to cancel Keystone XL, minister says",Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low,Oil Rises On Inauguration Day As Markets Eye Big Stimulus Act
2021-01-24,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Oil rises on U.S. stimulus optimism, OPEC supply cuts. Hong Kong leads gains as major Asia-Pacific markets rise",Schlumberger Optimistic for 2021 Recovery,Oil services companies signal worst is over for sector. American entrepreneurs wade into murky Syrian oil business,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low,Oil Rises On Inauguration Day As Markets Eye Big Stimulus Act
2021-01-25,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,Oil slides ahead of inventory data report as demand fears weigh. Hong Kong falls more than 2% as shares in Asia decline. European banks to stop financing Ecuadorean oil exports after scrutiny,Schlumberger Optimistic for 2021 Recovery,Scottish independence/oil: gutsy. Shale producers fear drilling binge will spoil good times. Shell buys UK’s largest electric vehicle charging network,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low,Barclays: WTI To Average $52 In 2021
2021-01-26,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,Oil rises as larger-than-expected U.S. crude draw outweighs Covid-19 demand concerns. Asia-Pacific markets mixed as IMF raises global economic growth forecast. Treasury yields rise slightly after Yellen’s confirmation as Treasury secretary,Schlumberger Optimistic for 2021 Recovery,NextEra takes $1.2bn charge as pipeline project comes under pressure. Inside the Keystone XL pipeline fallout,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low,IMF Sees Oil Prices Averaging $50 In 2021. Oil Rises As Physical Market Tightens
2021-01-27,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Oil falls on demand fears, strengthening dollar. Asia-Pacific stocks fall; Cathay Pacific shares in Hong Kong drop nearly 10%. Mike Santoli’s market notes: GameStop party gets out of hand, market uptrend remains intact",Schlumberger Optimistic for 2021 Recovery,Biden suspends leases for fossil fuel development on federal lands. Exxon considers capex cuts and board shake-up. Tullow Oil secures extra month of breathing room from its banks. Gas tycoon Charif Souki urges industry to clean up under Biden,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low,IMF Sees Oil Prices Averaging $50 In 2021. Oil Rises As Physical Market Tightens
2021-01-28,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,Oil posts second straight down week on worries about Coronavirus vaccine rollout. South Korea drops 2% as Asia-Pacific stocks trade mixed,UAE Sour Gas Bids Deadline Pushed to February,Olive is the new green in fighting climate change,Libya Gas Exports Lowest Since 2011. Saudi Pips Russia As China’s Top 2020 Supplier. Adnoc Imports Crude Oil For Ruwais. Saudi Crude Burn Stays Low,IMF Sees Oil Prices Averaging $50 In 2021. Oil Rises As Physical Market Tightens
2021-01-29,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,Oil posts second straight down week on worries about Coronavirus vaccine rollout. South Korea drops 2% as Asia-Pacific stocks trade mixed,UAE Sour Gas Bids Deadline Pushed to February,Shell loses Dutch case over Nigeria oil spills. Chevron disappoints Wall St with third straight quarterly loss,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low",IMF Sees Oil Prices Averaging $50 In 2021. Oil Rises As Physical Market Tightens
2021-01-30,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,Oil posts second straight down week on worries about Coronavirus vaccine rollout. South Korea drops 2% as Asia-Pacific stocks trade mixed,UAE Sour Gas Bids Deadline Pushed to February,Shell loses Dutch case over Nigeria oil spills. Chevron disappoints Wall St with third straight quarterly loss,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low",IMF Sees Oil Prices Averaging $50 In 2021. Oil Rises As Physical Market Tightens
2021-01-31,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Oil jumps more than 2% as supply cuts take effect. U.S. dollar reaches six-week high on weaker euro, Swiss franc and yen. South Korea surges nearly 3% as Asia-Pacific stocks rise; China’s manufacturing growth slowed in January",UAE Sour Gas Bids Deadline Pushed to February,China oil futures hit record levels,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low",IMF Sees Oil Prices Averaging $50 In 2021. Oil Rises As Physical Market Tightens
2021-02-01,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,Oil jumps 2% to highest level in a year amid output cuts. Shares in Taiwan and Shenzhen jump 2% as Asia-Pacific markets rise,UAE Sour Gas Bids Deadline Pushed to February,BP sells $2.6bn stake in Oman gas block to Thailand’s PTT. US shale oil: can a leaner industry ever lure back investors?. Labour demands ban on North Sea gas flaring,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low",Tighter Oil Markets Send Oil Prices Higher
2021-02-02,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Asia-Pacific stocks mixed; private survey shows China’s services activity growth slowed sharply in January. There is ‘a lot of value’ in Russian assets despite protests, Goldman Sachs says. Exxon Mobil reports a $20 billion loss, fourth-straight quarter in the red. Treasury yields climb as investors watch for stimulus progress. Energy company Baker Hughes is ‘cautiously optimistic’ on the outlook for demand. BP reports its first full-year loss in a decade after ‘brutal’ year",UAE Sour Gas Bids Deadline Pushed to February,Big Oil hit by record losses from pandemic and clean fuel. Exxon/climate change: feeling the heat. BP: mean green. ExxonMobil reports $22bn annual loss. Mexico holds the line on its oil bet amid mixed returns. BP reports first annual loss in a decade. US oil and gas fears end of the line for big pipe projects,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low",Tighter Oil Markets Send Oil Prices Higher
2021-02-03,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Oil rises on OPEC+ output cuts, U.S. inventory draw. Asia-Pacific stocks fall; Hyundai, Kia shares nudge higher after report of potential Apple deal. OPEC+ maintains oil policy amid price rally. Treasury yields rise as Democrats push forward with stimulus. Oil rises to highest level in more than a year after U.S. stock drawdown",UAE Sour Gas Bids Deadline Pushed to February,Lex letter from New York: green envy,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low",Tighter Oil Markets Send Oil Prices Higher
2021-02-04,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Oil hits highest level in one year, posts best week since October. Asia-Pacific stocks mostly rise; video sharing app Kuaishou soars in Hong Kong debut. Exxon’s 7% dividend yield, among the largest in the S&P 500, is safe, according to .... Crude oil at one-year highs is just one of the many problems airlines face, portfolio .... Oil major Shell reports sharp drop in full-year profit, raises dividend",Chevron Makes $1.1B Bid for Noble Midstream,Corporate Europe take heed: climate lawsuits are coming. Shell defies earnings plunge with raised dividend. Climate change’s bogeyman isn’t only big oil,"Adnoc’s Sour Crude Wins Over Buyers In China. India 2020 Crude Imports: Iraq Still Top, UAE Record, Opec Share Squeezed. Libya’s Oil Revenues Plummet To $6bn In 2020. Thailand LNG Imports: Qatar Still Dominant. World's Top Crude Importer: Japan Slides Below Korea For 2020. Thailand Crude Imports: Mideast Share Falls To Record Low",Tighter Oil Markets Send Oil Prices Higher
2021-02-05,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,Wall Street turns positive on Exxon after a brutal year. But some experts warn it ...,Chevron Makes $1.1B Bid for Noble Midstream,Corporate Europe take heed: climate lawsuits are coming. Shell defies earnings plunge with raised dividend. Climate change’s bogeyman isn’t only big oil,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed,"Energy Commodities Rally: Oil Nears $60, Natural Gas Jumps Above $3. Oil Prices Rally Towards $60. Trading Giant Gunvor: $60 Could Be The Ceiling For Oil Prices"
2021-02-06,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Handicapping the market’s upside from here as stocks run up the score on bonds, stretch ...",Chevron Makes $1.1B Bid for Noble Midstream,Corporate Europe take heed: climate lawsuits are coming. Shell defies earnings plunge with raised dividend. Climate change’s bogeyman isn’t only big oil,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed,"Energy Commodities Rally: Oil Nears $60, Natural Gas Jumps Above $3. Oil Prices Rally Towards $60. Trading Giant Gunvor: $60 Could Be The Ceiling For Oil Prices"
2021-02-07,WEEKLY ENERGY RECAP: A mixed week for oil with investors regaining confidence,"Brent oil hits $60 for the first time in more than a year amid supply .... Asia-Pacific stocks mostly rise; China announces new anti-monopoly rules aimed at tech giants. Dow jumps more than 200 points to a record, six-day winning streak is best since .... Biden says Iran must return to negotiating table before U.S. lifts sanctions. Hedge funds bet on oil’s ‘big comeback’ after pandemic hobbles producers. Wall Street’s best trade so far this year is buying energy stocks and selling safety",Chevron Makes $1.1B Bid for Noble Midstream,Mexico’s dangerous addiction to fossil fuels,Opec Output Growth Stalls Ahead Of Saudi Cut. LNG Trade: China Set To Overtake Japan As Top Importer. Qatar Export Revenues Fall 30% In 2020. Iran Oil Export Terminal Start Up Delayed,"Energy Commodities Rally: Oil Nears $60, Natural Gas Jumps Above $3. Oil Prices Rally Towards $60. Trading Giant Gunvor: $60 Could Be The Ceiling For Oil Prices"
